"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"04:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"00:00:00 21-Sep-2024",84306.33,84306.33,84306.33,,2622.22,2622.22,2622.22,
"20:00:00 20-Sep-2024",84314.85,84207.15,84306.33,,2622.48,2619.14,2622.22,
"16:00:00 20-Sep-2024",84421.19,84170.57,84275.47,,2625.79,2618.00,2621.26,
"12:00:00 20-Sep-2024",84331.25,83690.64,84325.86,,2623.00,2603.07,2622.83,
"08:00:00 20-Sep-2024",84086.34,83682.20,84047.20,,2615.38,2602.81,2614.16,
"04:00:00 20-Sep-2024",83898.66,83318.66,83828.65,,2609.54,2591.50,2607.36,
"00:00:00 20-Sep-2024",83385.85,83110.72,83326.30,,2593.59,2585.03,2591.74,
"20:00:00 19-Sep-2024",83261.67,83142.23,83185.56,,2589.73,2586.01,2587.36,
"16:00:00 19-Sep-2024",83354.11,83143.84,83226.39,,2592.60,2586.06,2588.63,
"12:00:00 19-Sep-2024",83306.84,82628.70,83239.97,,2591.13,2570.04,2589.05,
"08:00:00 19-Sep-2024",83421.06,82998.60,83251.79,,2594.69,2581.55,2589.42,
"04:00:00 19-Sep-2024",83093.52,82299.32,83082.91,,2584.50,2559.79,2584.17,
"00:00:00 19-Sep-2024",82520.60,82038.42,82441.59,,2566.68,2551.68,2564.22,
"20:00:00 18-Sep-2024",82362.18,81944.05,82279.95,,2561.75,2548.74,2559.19,
"16:00:00 18-Sep-2024",83591.94,81902.34,81944.05,,2600.00,2547.45,2548.74,
"12:00:00 18-Sep-2024",82913.48,82573.33,82618.42,,2578.90,2568.32,2569.72,
"08:00:00 18-Sep-2024",82967.90,82566.01,82866.06,,2580.59,2568.09,2577.42,
"04:00:00 18-Sep-2024",82831.25,82494.96,82679.74,,2576.34,2565.88,2571.63,
"00:00:00 18-Sep-2024",82834.15,82636.74,82816.71,,2576.43,2570.29,2575.89,
"20:00:00 17-Sep-2024",82770.09,82577.59,82759.56,,2574.44,2568.45,2574.11,
"16:00:00 17-Sep-2024",82681.35,82335.73,82582.81,,2571.68,2560.93,2568.61,
"12:00:00 17-Sep-2024",83015.00,82376.00,82487.56,,2582.06,2562.18,2565.65,
"08:00:00 17-Sep-2024",83080.34,82626.53,82954.87,,2584.09,2569.97,2580.18,
"04:00:00 17-Sep-2024",83171.65,82780.70,83073.19,,2586.93,2574.77,2583.87,
"00:00:00 17-Sep-2024",83147.06,82852.07,82861.15,,2586.16,2576.99,2577.27,
"20:00:00 16-Sep-2024",83075.20,83010.41,83067.24,,2583.93,2581.91,2583.68,
"16:00:00 16-Sep-2024",83082.11,82937.91,83030.59,,2584.14,2579.66,2582.54,
"12:00:00 16-Sep-2024",83247.04,82833.59,82944.43,,2589.27,2576.41,2579.86,
"08:00:00 16-Sep-2024",83222.37,82812.61,83044.01,,2588.51,2575.76,2582.96,
"04:00:00 16-Sep-2024",83259.58,82938.80,83017.65,,2589.66,2579.69,2582.14,
"00:00:00 16-Sep-2024",83234.75,82917.90,83155.01,,2588.89,2579.03,2586.41,
"20:00:00 15-Sep-2024",82963.23,82877.07,82920.87,,2580.44,2577.77,2579.13,
"16:00:00 15-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"12:00:00 15-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"08:00:00 15-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"04:00:00 15-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"00:00:00 15-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"20:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"16:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"12:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"08:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"04:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"00:00:00 14-Sep-2024",82902.79,82902.79,82902.79,,2578.57,2578.57,2578.57,
"20:00:00 13-Sep-2024",83040.48,82882.53,82902.79,,2582.85,2577.93,2578.57,
"16:00:00 13-Sep-2024",83141.59,82908.26,83039.51,,2585.99,2578.74,2582.82,
"12:00:00 13-Sep-2024",83051.73,82505.25,83019.26,,2583.20,2566.20,2582.19,
"08:00:00 13-Sep-2024",82721.54,82430.25,82541.01,,2572.93,2563.87,2567.31,
"04:00:00 13-Sep-2024",82662.54,82413.54,82616.17,,2571.09,2563.35,2569.65,
"00:00:00 13-Sep-2024",82622.60,82205.68,82563.52,,2569.85,2556.88,2568.01,
"20:00:00 12-Sep-2024",82309.05,82202.06,82259.13,,2560.10,2556.77,2558.54,
"16:00:00 12-Sep-2024",82271.91,81821.64,82240.32,,2558.94,2544.94,2557.96,
"12:00:00 12-Sep-2024",82143.23,80993.44,82098.22,,2554.94,2519.18,2553.54,
"08:00:00 12-Sep-2024",81054.76,80801.42,81006.14,,2521.08,2513.21,2519.57,
"04:00:00 12-Sep-2024",81092.78,80846.91,80887.66,,2522.27,2514.62,2515.89,
"00:00:00 12-Sep-2024",80895.46,80734.54,80889.91,,2516.13,2511.12,2515.96,
"20:00:00 11-Sep-2024",80824.65,80720.64,80765.97,,2513.93,2510.69,2512.10,
"16:00:00 11-Sep-2024",81019.80,80696.44,80799.33,,2520.00,2509.94,2513.14,
"12:00:00 11-Sep-2024",81093.51,80427.18,80856.23,,2522.29,2501.56,2514.91,
